"","year","global_LandAndOcean_temp","CO2","C02_Energy","CO2_Industrial_Processes_and_Product_Use","CO2_Agriculture","CO2_Waste","CH4","CH4_Energy","CH4_Industrial_Processes_and_Product_Use","CH4_Agriculture","CH4_Waste","Fgas","N20","N20_Energy","N20_Industrial_Processes_and_Product_Use","N20_Agriculture","N20_Waste"
"72",1921,15.1020833333333,3540,3150,375,7.41,4.16,2282.5,695,2.98,1357.5,227.25,2.25,414.22,45.59,0.01,303.96,9.89
"73",1922,15.0123333333333,3700,3310,377,7.66,4.67,2307.5,697.5,3.05,1375,231.75,4.11,420.18,46.19,0.01,306.94,10.04
"74",1923,15.0278333333333,4160,3770,380,8.28,5.03,2332.5,700,3.13,1392.5,236.75,6.86,426.14,47.08,0.01,312.9,10.19
"75",1924,15.0393333333333,4170,3780,381,8.71,5.34,2357.5,700,3.2,1412.5,241.75,10.2,432.1,47.68,0.01,315.88,10.37
"76",1925,15.0903333333333,4210,3810,382,8.81,5.42,2382.5,702.5,3.27,1430,247,13.9,438.06,48.28,0.01,318.86,10.52
"77",1926,15.2410833333333,4150,3760,383,8.93,5.09,2407.5,705,3.35,1450,252.5,17.7,444.02,48.87,0.01,324.82,10.67
"78",1927,15.12225,4510,4100,401,9.75,5.75,2432.5,705,3.45,1465,257.5,21.3,447,49.47,0.01,327.8,10.82
"79",1928,15.13225,4510,4080,411,9.81,5.71,2455,710,3.55,1480,262.5,24.5,452.96,50.06,0.01,330.78,10.97
"80",1929,14.9674166666667,4820,4380,414,10.7,6.07,2477.5,712.5,3.65,1492.5,270,27,455.94,50.66,0.01,333.76,11.09
"81",1930,15.1725,4490,4070,410,9.89,5.73,2497.5,717.5,3.77,1500,275,28.5,458.92,51.26,0.01,336.74,11.23
"82",1931,15.22825,4070,3650,399,9.04,5.23,2525,725,3.9,1505,280,29.1,461.9,51.55,0.55,336.74,11.32
"83",1932,15.188,3720,3320,384,8.25,4.95,2525,735,4.08,1510,287.5,29,464.88,51.85,2.05,336.74,11.44
"84",1933,15.0129166666667,3890,3490,377,8.7,5.44,2550,745,4.28,1510,292.5,28.5,467.86,51.85,4.35,336.74,11.5
"85",1934,15.1445,4180,3790,377,9.44,5.87,2575,760,4.47,1512.5,300,27.6,470.84,52.15,7.3,336.74,11.59
"86",1935,15.1188333333333,4370,3980,375,10,6.03,2600,772.5,4.7,1512.5,307.5,26.5,473.82,52.15,10.67,333.76,11.68
"87",1936,15.1661666666667,4750,4350,378,10.8,6.43,2625,787.5,4.92,1515,315,25.5,479.78,52.45,14.33,333.76,11.77
"88",1937,15.3005,5050,4650,377,11.9,6.97,2650,800,5.15,1515,322.5,24.6,482.76,52.75,18.12,333.76,11.86
"89",1938,15.2930833333333,4790,4400,375,11.7,7.05,2675,812.5,5.38,1517.5,330,24,488.72,53.04,21.84,333.76,11.98
"90",1939,15.3023333333333,5050,4650,377,12.4,6.96,2700,825,5.6,1522.5,337.5,23.9,491.7,53.34,25.36,333.76,12.13
"91",1940,15.3720833333333,5450,5060,374,14.2,7.63,2725,835,5.8,1530,345,24.4,500.64,53.94,28.46,333.76,12.31
"92",1941,15.3846666666667,5600,5190,388,14.2,7.47,2750,845,5.95,1542.5,355,25.4,518.52,54.83,31.29,351.64,12.75
"93",1942,15.3253333333333,5640,5220,402,13.9,7.16,2800,857.5,6.13,1565,367.5,26.7,563.22,56.32,33.67,387.4,13.56
"94",1943,15.345,5830,5400,411,14.7,7.32,2850,870,6.25,1597.5,380,28.2,625.8,58.11,36.06,444.02,14.66
"95",1944,15.4490833333333,5840,5400,422,14.2,6.51,2925,885,6.4,1635,395,30,700.3,60.2,38.44,512.56,16
"96",1945,15.33075,5050,4590,446,10.6,4.42,3000,900,6.55,1675,407.5,32,780.76,62.28,40.83,587.06,17.49
"97",1946,15.26275,5460,4950,491,12.2,4.21,3050,917.5,6.7,1715,422.5,34.1,864.2,64.67,43.51,661.56,19.01
"98",1947,15.3101666666667,6000,5450,531,13.4,5.01,3125,935,6.85,1755,440,36.3,941.68,66.75,46.19,733.08,20.5
"99",1948,15.2611666666667,6320,5730,574,14.2,5.78,3200,952.5,7.05,1792.5,455,38.7,1007.24,68.84,49.47,792.68,21.87
"100",1949,15.22275,6150,5520,614,14.5,6.4,3275,972.5,7.25,1825,467.5,41.1,1060.88,70.33,53.04,837.38,23.07
"101",1950,15.1395,6560,5880,655,16.7,6.32,3325,992.5,7.5,1847.5,482.5,43.5,1090.68,71.82,56.92,861.22,23.96
"102",1951,15.3111666666667,7030,6310,700,18.2,7.27,3400,1015,7.85,1872.5,497.5,46.1,1108.56,73.01,62.58,870.16,24.61
"103",1952,15.3630833333333,7170,6400,749,19.2,7.5,3475,1045,8.32,1907.5,512.5,48.8,1126.44,75.1,71.22,876.12,25.18
"104",1953,15.4210833333333,7400,6560,811,19.7,7.95,3575,1082.5,8.93,1950,530,51.8,1147.3,77.48,82.25,882.08,25.66
"105",1954,15.2305833333333,7580,6670,875,20.8,7.98,3675,1122.5,9.6,1997.5,547.5,55,1168.16,80.16,95.06,885.06,26.1
"106",1955,15.1743333333333,8290,7310,948,23,8.25,3800,1167.5,10.32,2047.5,567.5,58.3,1189.02,83.14,109.37,888.04,26.52
"107",1956,15.106,8840,7790,1020,24.6,9.09,3900,1215,11.07,2097.5,585,61.8,1212.86,86.12,125.16,894,26.94
"108",1957,15.3740833333333,9140,8020,1080,25.8,10,4025,1262.5,11.82,2147.5,602.5,65.5,1239.68,89.1,141.55,896.98,27.39
"109",1958,15.3820833333333,9410,8230,1150,27.2,9.72,4125,1312.5,12.55,2192.5,620,69.3,1266.5,91.78,158.24,905.92,27.89
"110",1959,15.3405,9890,8640,1220,28.5,10.1,4250,1362.5,13.22,2230,637.5,73.2,1296.3,94.17,174.93,914.86,28.49
"111",1960,15.2919166666667,10400,9090,1270,30.5,11.4,4325,1407.5,13.82,2257.5,652.5,77.3,1326.1,95.96,191.02,926.78,29.2
"112",1961,15.3799166666667,10400,9070,1310,31.1,13.2,4425,1457.5,14.38,2280,665,81.7,1406.56,97.45,208.9,986.38,30.1
"113",1962,15.3255833333333,10700,9340,1340,32.8,13.6,4525,1512.5,14.9,2325,680,86.7,1457.22,98.94,229.76,1013.2,31.29
"114",1963,15.3766666666667,11300,9870,1370,34.7,15,4625,1577.5,15.45,2345,692.5,92.1,1507.88,100.43,253,1034.06,33.08
"115",1964,15.1170833333333,11800,10400,1390,36.6,16.2,4775,1650,15.97,2390,707.5,97.9,1558.54,102.21,277.74,1054.92,34.57
"116",1965,15.19575,12300,10800,1410,38,17.2,4900,1732.5,16.52,2422.5,722.5,104,1621.12,104,303.96,1090.68,36.36
"117",1966,15.2646666666667,12800,11300,1430,40.2,18.2,5050,1825,17.1,2467.5,737.5,110,1692.64,106.09,327.8,1129.42,38.14
"118",1967,15.2941666666667,13200,11700,1450,41.2,20.6,5200,1927.5,17.7,2500,752.5,117,1752.24,108.47,351.64,1162.2,39.93
"119",1968,15.2639166666667,13900,12300,1480,44.2,23.1,5375,2042.5,18.35,2550,767.5,123,1802.9,111.15,372.5,1189.02,41.42
"120",1969,15.3905,14800,13200,1530,47.1,26.3,5525,2170,19.02,2550,782.5,129,1847.6,114.43,390.38,1206.9,42.91
"121",1970,15.3326666666667,15900,14300,1550,47.8,23.5,5750,2350,17.3,2625,770,142,1871.44,113.84,348.66,1272.46,43.51
"122",1971,15.2,16400,14800,1530,49.8,23.1,5900,2457.5,15.9,2600,820,153,1856.54,115.92,354.62,1251.6,44.4
"123",1972,15.2929166666667,17100,15400,1620,54.4,22.7,6100,2625,16.98,2650,835,160,1913.16,123.37,360.58,1290.34,45
"124",1973,15.40475,18000,16200,1680,54.9,22.9,6475,2925,16.7,2700,850,178,1990.64,132.01,378.46,1335.04,46.19
"125",1974,15.1680833333333,17900,16100,1650,54.9,22.7,6475,2875,14.97,2725,862.5,193,2005.54,134.99,393.36,1329.08,47.38
"126",1975,15.2386666666667,17800,16100,1580,58.5,22.5,6350,2675,13.72,2775,872.5,182,2059.18,140.06,372.5,1400.6,48.28
"127",1976,15.1310833333333,18700,17000,1650,62.2,22.5,6625,2950,13,2800,890,202,2100.9,148.4,381.44,1415.5,49.17
"128",1977,15.40825,19200,17400,1660,68.1,22.4,6625,2875,11.38,2825,902.5,220,2139.64,155.26,378.46,1448.28,49.77
"129",1978,15.3009166666667,20000,18100,1760,71.2,22.3,6825,3075,10.72,2825,917.5,232,2193.28,162.11,381.44,1487.02,51.85
"130",1979,15.4141666666667,20500,18600,1820,76.2,22.4,6875,3075,12.15,2850,932.5,245,2261.82,166.58,387.4,1540.66,53.04
"131",1980,15.4918333333333,20300,18500,1750,80,22.4,6725,2875,9.82,2900,947.5,248,2264.8,165.99,360.58,1573.44,54.24
"132",1981,15.5161666666667,19800,18000,1730,78.2,22.4,6325,2472.5,9.35,2900,957.5,248,2232.02,165.99,345.68,1552.58,55.43
"133",1982,15.3419166666667,19600,17900,1600,79.8,22.4,6325,2437.5,6.3,2925,972.5,237,2226.06,168.67,309.92,1582.38,56.92
"134",1983,15.52025,19700,18000,1590,80.5,22.4,6300,2372.5,5.1,2925,987.5,254,2264.8,170.75,312.9,1615.16,58.11
"135",1984,15.3441666666667,20300,18600,1670,86.8,22.4,6225,2282.5,6.85,2925,1002.5,277,2291.62,174.63,315.88,1627.08,59.6
"136",1985,15.3406666666667,21000,19200,1650,87.4,22.5,6275,2307.5,6.63,2925,1017.5,275,2279.7,176.71,300.98,1627.08,61.09
"137",1986,15.384,21200,19400,1670,92.2,22.6,6325,2335,6.03,2950,1032.5,283,2291.62,180.29,283.7,1639,62.58
"138",1987,15.5245,22000,20100,1710,93.9,22.6,6325,2300,6.17,2975,1047.5,297,2339.3,185.65,276.84,1689.66,63.77
"139",1988,15.55575,22800,20900,1780,96.5,22.7,6500,2447.5,6.47,2975,1065,327,2312.48,191.32,262.84,1671.78,65.26
"140",1989,15.4415833333333,23100,21200,1790,96.2,22.8,6600,2487.5,6.6,3025,1082.5,343,2345.26,194.89,258.66,1698.6,66.45
"141",1990,15.6293333333333,22800,20800,1800,99.6,23.4,6650,2500,6.67,3050,1085,337,2345.26,191.61,222.01,1740.32,66.75
"142",1991,15.598,23200,21300,1770,96.7,24,6650,2472.5,6.3,3075,1110,328,2318.44,193.1,216.94,1716.48,67.94
"143",1992,15.453,22500,20600,1790,94.3,25.7,6675,2470,6.22,3075,1125,321,2315.46,194.59,215.75,1710.52,69.73
"144",1993,15.4664166666667,22700,20800,1790,89.9,26,6675,2460,6.1,3050,1140,318,2306.52,196.98,211.88,1701.58,71.52
"145",1994,15.535,22900,20900,1840,90.3,28.5,6650,2435,6.17,3075,1155,335,2300.56,199.36,219.03,1680.72,74.2
"146",1995,15.6378333333333,23400,21400,1890,96.9,29.9,6725,2437.5,6.1,3100,1177.5,366,2366.12,209.2,227.97,1725.42,75.99
"147",1996,15.5246666666667,24000,22000,1880,101,30.7,6800,2462.5,6.13,3125,1197.5,395,2410.82,215.45,237.21,1752.24,77.18
"148",1997,15.7138333333333,24200,22100,1910,102,31.1,6700,2407.5,6.53,3075,1212.5,437,2407.84,225.88,228.86,1746.28,78.37
"149",1998,15.826,24100,22100,1870,105,30.5,6650,2292.5,6.5,3125,1222.5,446,2434.66,230.95,200.85,1793.96,80.46
"150",1999,15.6003333333333,24400,22300,1900,108,30.9,6650,2245,6.88,3175,1237.5,484,2407.84,232.74,174.93,1790.98,81.95
"151",2000,15.6106666666667,25000,22900,1960,113,33,6725,2270,7.35,3200,1255,469,2431.68,233.04,185.65,1796.94,83.44
"152",2001,15.7675,25200,23100,1980,111,32.4,6725,2232.5,8.05,3225,1262.5,451,2455.52,232.74,181.18,1823.76,86.72
"153",2002,15.8291666666667,25800,23700,2020,116,31,6700,2180,8.97,3250,1267.5,482,2470.42,235.12,173.44,1841.64,89.7
"154",2003,15.8265833333333,27100,24800,2130,125,31.4,6900,2312.5,10,3300,1275,498,2518.1,241.08,179.99,1868.46,92.98
"155",2004,15.75725,28300,25900,2250,126,30.7,7025,2372.5,11.4,3350,1275,572,2601.54,246.74,200.85,1919.12,96.55
"156",2005,15.87925,29300,26800,2310,128,29.3,7150,2425,11.2,3425,1280,622,2610.48,249.43,200.26,1919.12,100.43
"157",2006,15.8135,30200,27600,2470,131,29.2,7225,2500,11.82,3400,1305,665,2646.24,253,196.98,1945.94,104.3
"158",2007,15.8273333333333,31100,28300,2610,136,28.8,7300,2525,12.38,3425,1322.5,678,2723.72,258.66,199.36,2008.52,107.88
"159",2008,15.72125,31700,28900,2630,139,30.2,7400,2600,11.65,3450,1340,697,2747.56,260.45,178.2,2050.24,112.05
"160",2009,15.8271666666667,31200,28500,2580,139,27.6,7350,2550,10.45,3425,1355,683,2774.38,256.88,168.97,2086,115.62
"161",2010,15.8955,32900,29900,2820,141,27.9,7500,2675,11.95,3425,1382.5,719,2833.98,265.22,160.92,2136.66,119.5
"162",2011,15.7695,33900,30700,3000,143,27.5,7625,2775,14.07,3450,1400,780,2881.66,273.27,168.37,2166.46,115.62
"163",2012,15.8023333333333,34400,31200,3050,147,28.8,7700,2800,13.93,3450,1420,819,2893.58,272.37,168.07,2181.36,110.86
"164",2013,15.8544166666667,34600,31300,3080,152,28.8,7675,2800,12.55,3450,1407.5,852,2959.14,275.05,167.48,2232.02,123.37
"165",2014,15.913,35000,31600,3170,156,27.7,7750,2850,12.9,3450,1425,887,2977.02,278.33,173.44,2237.98,126.35
"166",2015,16.0585833333333,35000,31700,3140,158,26.9,7850,2875,13.18,3525,1442.5,911,3039.6,280.12,177.91,2276.72,129.33
